,date_wlevel,w_level,t_wlevel-20,t_wlevel-19,t_wlevel-18,t_wlevel-17,t_wlevel-16,t_wlevel-15,t_wlevel-14,t_wlevel-13,t_wlevel-12,t_wlevel-11,t_wlevel-10
55,2016-05-15,32.544,32.84,32.782,32.716,32.656,32.61,32.571,32.554,32.573,32.568,32.556,32.567
56,2016-05-17,32.58,32.716,32.656,32.61,32.571,32.554,32.573,32.568,32.556,32.567,32.554,32.535
57,2016-05-20,32.552,32.571,32.554,32.573,32.568,32.556,32.567,32.554,32.535,32.534,32.534,32.55
58,2016-05-27,32.606,32.535,32.534,32.534,32.55,32.576,32.569,32.556,32.524,32.544,32.583,32.58
59,2016-06-08,32.587,32.574,32.552,33.0872401545,33.0832755416,33.0792957169,33.0753009803,32.564,32.579,32.606,32.587,32.581
60,2016-07-02,32.626,32.567,32.555,32.575,32.597,32.587,32.542,32.582,32.598,32.641,32.615,32.606
61,2016-07-26,32.587,32.575,32.568,32.558,32.538,32.537,32.587,32.639,32.628,32.583,32.566,32.565
62,2016-12-23,32.774,32.643,32.63,32.615,32.59,32.585,32.593,32.574,32.561,32.545,32.55,32.546
63,2016-12-25,32.873,32.615,32.59,32.585,32.593,32.574,32.561,32.545,32.55,32.546,32.573,32.641
64,2016-12-29,32.901,32.574,32.561,32.545,32.55,32.546,32.573,32.641,32.701,32.783,32.765,32.745
65,2017-01-04,32.902,32.641,32.701,32.783,32.765,32.745,32.719,32.783,32.781,32.774,32.853,32.873
66,2017-01-06,32.87,32.783,32.765,32.745,32.719,32.783,32.781,32.774,32.853,32.873,32.869,32.873
