,date_rain,rain,t_rain-20,t_rain-19,t_rain-18,t_rain-17,t_rain-16,t_rain-15,t_rain-14,t_rain-13,t_rain-12,t_rain-11,t_rain-10,t_rain-9,t_rain-8,t_rain-7
50,2016-04-23,0,7.7,0.2,1,4.6,0.7,5.2,2.2,1.7,1.9,0,1.4,0.7,1.8,0
51,2016-04-26,0,4.6,0.7,5.2,2.2,1.7,1.9,0,1.4,0.7,1.8,0,0,1.2,0
52,2016-05-03,0.2,1.4,0.7,1.8,0,0,1.2,0,0,0,0,0,0,1,0
53,2016-05-05,0,1.8,0,0,1.2,0,0,0,0,0,0,1,0,0.3,4.1
54,2016-05-08,0,1.2,0,0,0,0,0,0,1,0,0.3,4.1,0.8,1.2,1.4
55,2016-05-15,0,1,0,0.3,4.1,0.8,1.2,1.4,3.6,0.2,1.7,0,0,9.3,0
56,2016-05-17,3.4,0.3,4.1,0.8,1.2,1.4,3.6,0.2,1.7,0,0,9.3,0,0,16.2
57,2016-05-20,5.5,1.2,1.4,3.6,0.2,1.7,0,0,9.3,0,0,16.2,0,0.9,0
58,2016-05-27,0,9.3,0,0,16.2,0,0.9,0,0,0,0,3.4,0.6,3.2,5.5
59,2016-06-08,0.7,3.2,5.5,4.2,6.2,0,0,0,0,0,0.1,0.1,0,0,0
60,2016-07-02,0.4,1.9,15.8,20.4,6.5,0.1,0,3.2,10.1,0.7,0.5,0,2.3,8.5,0.3
61,2016-07-26,5.2,0.8,0.2,0.1,5.8,4,0,0.7,0,6.9,3,0,0,0,0.1
62,2016-12-23,6,0,0,0,0.3,0.5,0.7,0.6,0.2,0.4,3.4,1.6,9.5,10,3.3
63,2016-12-25,2.7,0,0.3,0.5,0.7,0.6,0.2,0.4,3.4,1.6,9.5,10,3.3,0,0
64,2016-12-29,0,0.6,0.2,0.4,3.4,1.6,9.5,10,3.3,0,0,0,10.3,4.8,1.8
65,2017-01-04,0,10,3.3,0,0,0,10.3,4.8,1.8,6,2.8,2.7,0.4,0,0
66,2017-01-06,6.2,0,0,0,10.3,4.8,1.8,6,2.8,2.7,0.4,0,0,0,0
