,date_evap,evap,t_evap-20,t_evap-19,t_evap-18,t_evap-17,t_evap-16,t_evap-15,t_evap-14,t_evap-13,t_evap-12,t_evap-11,t_evap-10,t_evap-9,t_evap-8,t_evap-7
46,2016-04-09,2.4,1.2,0.9,1.1,1.8,1.3,2.7,1.5,1.9,2.2,2.2,2.4,2.6,1.3,1.1
47,2016-04-11,1.3,1.1,1.8,1.3,2.7,1.5,1.9,2.2,2.2,2.4,2.6,1.3,1.1,1.8,1.9
48,2016-04-14,2.1,2.7,1.5,1.9,2.2,2.2,2.4,2.6,1.3,1.1,1.8,1.9,2.2,2.4,2.5
49,2016-04-21,3.3,1.3,1.1,1.8,1.9,2.2,2.4,2.5,1.2,2.4,1.9,1.3,2.9,2.3,2.1
50,2016-04-23,3.2,1.8,1.9,2.2,2.4,2.5,1.2,2.4,1.9,1.3,2.9,2.3,2.1,2.1,2.7
51,2016-04-26,3.5,2.4,2.5,1.2,2.4,1.9,1.3,2.9,2.3,2.1,2.1,2.7,2.1,2.7,2.9
52,2016-05-03,3.5,2.3,2.1,2.1,2.7,2.1,2.7,2.9,3.8,3.3,3.7,3.2,2.3,3.5,3.5
53,2016-05-05,3.5,2.1,2.7,2.1,2.7,2.9,3.8,3.3,3.7,3.2,2.3,3.5,3.5,3.1,2.4
54,2016-05-08,3.9,2.7,2.9,3.8,3.3,3.7,3.2,2.3,3.5,3.5,3.1,2.4,3.1,3.1,2.3
55,2016-05-15,4.8,3.5,3.5,3.1,2.4,3.1,3.1,2.3,3.9,3.5,3.1,3.5,4.1,1.3,3.9
56,2016-05-17,2.6,3.1,2.4,3.1,3.1,2.3,3.9,3.5,3.1,3.5,4.1,1.3,3.9,3.6,2.2
57,2016-05-20,2,3.1,2.3,3.9,3.5,3.1,3.5,4.1,1.3,3.9,3.6,2.2,2.2,4,5.2
58,2016-05-27,3.5,1.3,3.9,3.6,2.2,2.2,4,5.2,5,4.8,4.4,2.6,3.4,3.2,2
59,2016-06-08,4,3.2,2,3.7,3.4,3.9,4.9,4.2,1.9,3.5,3.5,4,5.5,5.4,5.4
60,2016-07-02,4.7,4.4,3.7,2.3,3,2.7,3,3.6,1.8,4,4.4,4.2,3.5,3.2,2.4
61,2016-07-26,2.3,2.9,4.9,3.9,3.7,2.5,3.2,3.7,3.6,3.5,3.6,3.7,3.2,6,6
62,2016-12-23,1,0.8,0.5,0.4,0.8,0.7,0.1,0.7,0.4,0.2,0.4,0.4,0.4,0.4,0.1
63,2016-12-25,0.9,0.4,0.8,0.7,0.1,0.7,0.4,0.2,0.4,0.4,0.4,0.4,0.1,0.3,0.2
64,2016-12-29,0.7,0.7,0.4,0.2,0.4,0.4,0.4,0.4,0.1,0.3,0.2,0,0.4,0.3,0.5
65,2017-01-04,0.2,0.4,0.1,0.3,0.2,0,0.4,0.3,0.5,1,0.8,0.9,0.6,0.6,0.1
66,2017-01-06,0.6,0.3,0.2,0,0.4,0.3,0.5,1,0.8,0.9,0.6,0.6,0.1,0.7,0.7
